B03002_003E,B01001_002E,B01001_003E,B19013_001E,B23025_003E,B23025_004E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B25092_001E,B25081_002E,B25081_003E,B25014_002E,B25014_003E,county,tract,block group,B25002_003E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B25001_001E,B25002_002E,B25009_002E,B25009_003E,B25074_008E,B25074_009E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B09002_001E,B19058_002E,B08007_001E,B08008_001E,B08134_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19301_001E,B23022_001E,B23022_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25037_002E,B25040_002E,B25041_002E,B25046_001E,B25057_001E,B25059_001E,B25060_001E,B25065_001E,B25071_001E,B25076_001E,B25078_001E,B25082_001E,state_11.0,state_24.0,state_51.0,filing_rate,filings
676,1282,172,96696,1284,1255,1770,343300,1682,318,488,50,0,8,0,0,9,56,0,864,16,20,1978,18,177,44,318,279,59,471303,3,58,2164,32,749,12,625,732,806,499,358,81,60,195,492,23,1766,1298,29,864,806,318,142,0,0,0,0,68,47,403,30,1260,1260,1214,2164,43,39,30,46,919,1214,10,183,134,142,112,78,273,23,39,1577,0,0,0,0,25,0,0,1971,232,104,75,52,23,0,0,0,0,0,806,44,0,28,0,31,16,34,17,38,0,46858,1575,861,126,0,0,0,0,14,0,0,0,0,0,0,0,2164,274,259,112,68,1978,309,0,1294,1424,1943,806600,837800,23,225000,771200,146013100,0,0,1,0.42,2.0
557,1110,43,96078,1264,1264,1744,441295,1638,0,713,14,0,0,0,43,17,44,0,727,0,0,1973,20,0,0,0,0,59,471301,1,14,2065,30,1044,24,817,626,713,442,345,57,40,125,450,16,1557,1273,0,727,713,0,0,0,0,0,0,0,55,426,9,1250,1250,1206,2065,30,53,32,27,1078,1206,10,49,25,297,191,58,224,49,127,1380,34,31,9,47,45,11,0,1905,373,37,181,156,25,0,8,0,0,0,713,0,17,8,0,8,63,28,9,5,24,35639,1429,781,0,0,0,0,0,0,0,0,0,0,0,0,0,2065,123,285,219,45,2046,135,29,1119,1423,1877,1180300,1259400,21,354919,541265,5564495,0,0,1,1.09,8.0
1686,1243,119,250001,1220,1177,2823,1184700,2323,806,31,0,0,29,0,0,0,7,9,873,35,11,1988,21,540,145,806,761,59,480402,2,36,2465,47,1787,60,536,114,837,732,682,27,23,122,660,80,1962,1229,43,873,837,806,86,0,0,10,12,137,246,570,9,1157,1157,977,2465,49,47,42,50,1869,977,10,0,33,180,199,87,105,58,48,1721,11,0,0,0,0,0,10,2296,447,382,20,20,0,0,11,11,0,0,837,26,0,11,0,9,11,0,10,0,23,108764,1578,818,770,25,0,0,0,0,0,0,0,0,0,0,0,2465,195,182,30,15,1988,352,0,2279,2161,2484,77000,87800,42,994100,1533300,999590600,0,0,1,3.85,1.0
349,1142,117,31936,855,855,1377,392995,1358,0,629,0,0,0,0,71,0,59,68,629,0,0,1968,23,0,0,0,0,59,421400,4,0,2251,26,1082,203,137,1459,629,570,259,129,182,239,35,0,1214,855,0,629,629,0,0,0,18,0,0,0,51,1052,233,855,855,855,2251,29,43,39,10,1082,855,0,129,104,50,322,0,89,0,0,1155,18,51,126,131,0,33,56,1945,746,30,668,508,108,52,139,125,125,0,629,18,37,57,77,86,51,41,18,0,71,13568,1191,620,0,0,0,0,0,0,0,0,0,0,0,0,0,2251,33,144,401,0,1822,345,18,615,1195,1512,793800,819000,51,288024,530148,-8512864,0,0,1,16.24,82.0
370,1018,114,43155,1104,1006,1660,349405,1642,13,576,15,0,0,0,56,51,93,13,628,6,8,1978,23,0,0,13,7,59,461902,1,39,2037,27,1005,284,296,1121,589,460,294,65,101,355,322,22,1425,1104,98,628,589,13,0,0,17,0,0,19,87,559,88,975,975,946,2037,31,31,26,35,1049,946,0,45,102,147,163,89,154,6,19,1106,5,16,12,7,0,7,0,1835,461,86,324,197,120,7,90,20,20,7,589,25,14,24,38,26,88,45,50,55,43,16781,1360,695,0,0,0,0,0,6,0,0,0,0,0,0,0,2037,136,312,56,4,1838,230,13,818,1407,1871,908800,920000,43,264668,459885,-37809705,0,0,1,5.47,32.0
410,611,54,112778,663,663,2191,717300,2106,121,301,0,25,0,0,49,19,15,0,447,0,0,1992,20,94,17,121,121,59,460400,3,25,1124,29,418,210,364,77,422,296,206,33,57,9,232,101,905,663,0,447,422,121,24,0,0,0,8,51,205,272,9,649,649,628,1124,43,20,29,43,539,628,9,83,27,63,36,39,165,42,34,727,0,0,0,0,0,0,0,1018,166,118,0,0,0,0,0,0,0,0,422,8,0,0,0,0,0,0,32,7,0,58947,815,422,0,86,0,35,0,0,0,0,0,0,0,0,0,1124,64,101,18,0,1997,132,9,660,1808,2384,625900,668400,27,537200,862500,78324000,0,0,1,3.12,13.0
569,564,86,121563,602,567,1920,642900,1825,170,223,0,0,0,0,55,0,45,0,393,80,57,1962,11,116,12,170,118,13,102302,3,0,1130,33,738,243,85,185,393,254,204,30,20,37,155,12,750,626,35,393,393,170,12,0,8,0,0,0,0,390,0,591,591,534,1130,34,20,35,34,796,534,15,14,27,56,100,27,72,7,32,674,0,0,0,0,0,0,0,969,229,128,27,11,16,0,0,0,0,0,393,8,0,0,0,10,0,24,18,21,28,51731,679,322,141,0,0,0,0,0,0,0,0,0,0,0,0,1130,33,63,133,27,1950,294,30,706,1564,2150,405200,432500,31,534400,752900,102541800,0,0,1,6.99,19.0
412,524,38,58719,764,705,1368,1095600,1335,42,375,0,0,0,0,102,75,0,60,461,136,163,1945,14,42,20,42,34,13,101803,3,44,1115,33,463,54,301,348,417,222,191,0,31,71,170,18,987,764,59,461,417,42,0,0,0,0,12,0,0,119,102,705,705,705,1115,33,35,25,32,463,705,8,71,66,105,64,43,118,21,0,816,34,11,0,60,0,25,0,1077,99,99,0,0,0,0,8,0,0,0,417,0,0,0,10,22,0,17,34,59,87,33728,878,446,42,0,0,0,0,0,0,0,0,0,0,0,0,1115,0,69,46,35,0,294,23,501,1235,1426,501700,515000,31,1018400,1172800,41800000,0,0,1,2.62,9.0
1279,723,48,107182,1259,1259,1882,703300,1870,432,353,0,0,0,0,0,0,0,0,833,219,279,1946,19,257,30,432,390,13,101803,4,48,1639,35,1472,0,41,208,785,294,224,25,45,41,761,26,1412,1268,0,833,785,432,161,0,0,13,0,16,0,213,11,1252,1252,1159,1639,35,40,30,36,1583,1159,0,66,85,167,161,38,167,81,269,1306,0,0,0,0,0,0,0,1513,101,101,0,0,0,0,11,0,0,0,785,0,0,21,0,0,0,0,0,0,15,77991,1258,553,288,28,0,56,28,0,0,0,0,0,0,0,0,1639,132,125,35,14,1942,352,0,1302,1505,2243,679700,704500,19,430900,889100,284000900,0,0,1,2.26,6.0
656,474,18,107008,758,758,1918,318500,1854,110,495,107,0,29,0,25,11,0,16,741,125,61,1974,13,63,0,110,84,13,101703,1,136,997,33,689,153,147,33,605,132,69,38,25,3,297,56,885,773,0,741,605,110,76,0,24,0,92,143,0,112,30,764,764,680,997,34,31,36,34,689,680,0,33,56,93,62,76,139,49,52,856,37,0,0,0,0,0,0,939,54,9,9,5,4,0,0,0,0,0,605,38,40,9,12,10,0,25,0,7,59,79055,850,405,7,23,0,0,0,0,0,0,0,0,0,0,0,997,52,141,82,45,1948,89,54,663,1544,2238,934000,972400,25,262500,572400,48780000,0,0,1,1.66,9.0
