id,name,parent_location,year,type,filings,filing_rate
110010027021,"District of Columbia, District of Columbia, 2702, 1",District of Columbia,2018,observed,142.0,21.65
110010027022,"District of Columbia, District of Columbia, 2702, 2",District of Columbia,2018,observed,33.0,6.61
110010027023,"District of Columbia, District of Columbia, 2702, 3",District of Columbia,2018,observed,4.0,2.42
110010028011,"District of Columbia, District of Columbia, 2801, 1",District of Columbia,2018,observed,29.0,3.59
110010028012,"District of Columbia, District of Columbia, 2801, 2",District of Columbia,2018,observed,158.0,23.55
110010028021,"District of Columbia, District of Columbia, 2802, 1",District of Columbia,2018,observed,74.0,5.32
110010028022,"District of Columbia, District of Columbia, 2802, 2",District of Columbia,2018,observed,35.0,8.01
110010029001,"District of Columbia, District of Columbia, 2900, 1",District of Columbia,2018,observed,16.0,5.25
110010029002,"District of Columbia, District of Columbia, 2900, 2",District of Columbia,2018,observed,16.0,3.44
110010030001,"District of Columbia, District of Columbia, 3000, 1",District of Columbia,2018,observed,40.0,8.44
110010030002,"District of Columbia, District of Columbia, 3000, 2",District of Columbia,2018,observed,81.0,17.8
110010031001,"District of Columbia, District of Columbia, 3100, 1",District of Columbia,2018,observed,64.0,10.44
110010032001,"District of Columbia, District of Columbia, 3200, 1",District of Columbia,2018,observed,8.0,3.38
110010032002,"District of Columbia, District of Columbia, 3200, 2",District of Columbia,2018,observed,13.0,11.11
110010032003,"District of Columbia, District of Columbia, 3200, 3",District of Columbia,2018,observed,5.0,3.05
110010032004,"District of Columbia, District of Columbia, 3200, 4",District of Columbia,2018,observed,20.0,12.5
110010033011,"District of Columbia, District of Columbia, 3301, 1",District of Columbia,2018,observed,4.0,2.99
110010033012,"District of Columbia, District of Columbia, 3301, 2",District of Columbia,2018,observed,3.0,1.44
110010033013,"District of Columbia, District of Columbia, 3301, 3",District of Columbia,2018,observed,1.0,1.11
110010033021,"District of Columbia, District of Columbia, 3302, 1",District of Columbia,2018,observed,3.0,1.4
110010033022,"District of Columbia, District of Columbia, 3302, 2",District of Columbia,2018,observed,5.0,2.91
110010034001,"District of Columbia, District of Columbia, 3400, 1",District of Columbia,2018,observed,11.0,2.93
110010034002,"District of Columbia, District of Columbia, 3400, 2",District of Columbia,2018,observed,1.0,0.4
110010035001,"District of Columbia, District of Columbia, 3500, 1",District of Columbia,2018,observed,21.0,5.59
110010035002,"District of Columbia, District of Columbia, 3500, 2",District of Columbia,2018,observed,21.0,4.41
110010036001,"District of Columbia, District of Columbia, 3600, 1",District of Columbia,2018,observed,92.0,14.07
110010036002,"District of Columbia, District of Columbia, 3600, 2",District of Columbia,2018,observed,23.0,5.01
110010036003,"District of Columbia, District of Columbia, 3600, 3",District of Columbia,2018,observed,13.0,3.69
110010037001,"District of Columbia, District of Columbia, 3700, 1",District of Columbia,2018,observed,29.0,6.26
110010037002,"District of Columbia, District of Columbia, 3700, 2",District of Columbia,2018,observed,83.0,9.88
110010037003,"District of Columbia, District of Columbia, 3700, 3",District of Columbia,2018,observed,74.0,11.82
110010038001,"District of Columbia, District of Columbia, 3800, 1",District of Columbia,2018,observed,73.0,9.61
110010038002,"District of Columbia, District of Columbia, 3800, 2",District of Columbia,2018,observed,22.0,3.7
110010038003,"District of Columbia, District of Columbia, 3800, 3",District of Columbia,2018,observed,10.0,1.92
110010039001,"District of Columbia, District of Columbia, 3900, 1",District of Columbia,2018,observed,46.0,5.6
110010039002,"District of Columbia, District of Columbia, 3900, 2",District of Columbia,2018,observed,15.0,10.14
110010039003,"District of Columbia, District of Columbia, 3900, 3",District of Columbia,2018,observed,39.0,7.62
110010039004,"District of Columbia, District of Columbia, 3900, 4",District of Columbia,2018,observed,1.0,0.38
110010040011,"District of Columbia, District of Columbia, 4001, 1",District of Columbia,2018,observed,5.0,1.06
110010040012,"District of Columbia, District of Columbia, 4001, 2",District of Columbia,2018,observed,7.0,4.29
110010040013,"District of Columbia, District of Columbia, 4001, 3",District of Columbia,2018,observed,9.0,1.58
110010040021,"District of Columbia, District of Columbia, 4002, 1",District of Columbia,2018,observed,27.0,9.89
110010040022,"District of Columbia, District of Columbia, 4002, 2",District of Columbia,2018,observed,41.0,8.27
110010040023,"District of Columbia, District of Columbia, 4002, 3",District of Columbia,2018,observed,25.0,9.23
110010041002,"District of Columbia, District of Columbia, 4100, 2",District of Columbia,2018,observed,3.0,1.44
110010042011,"District of Columbia, District of Columbia, 4201, 1",District of Columbia,2018,observed,51.0,7.73
110010042012,"District of Columbia, District of Columbia, 4201, 2",District of Columbia,2018,observed,6.0,0.99
110010042021,"District of Columbia, District of Columbia, 4202, 1",District of Columbia,2018,observed,28.0,5.2
