id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate,Eviction_Score
110010021023,"District of Columbia, District of Columbia, 2102, 3",District of Columbia,2018,observed,10.0,4.93,8.0,3.94,3.0,1.48,-1.19321221934585
110010021024,"District of Columbia, District of Columbia, 2102, 4",District of Columbia,2018,observed,14.0,13.33,12.0,11.43,0.0,0.0,-1.6210055940175994
110010021025,"District of Columbia, District of Columbia, 2102, 5",District of Columbia,2018,observed,147.0,277.36,69.0,130.19,4.0,7.55,-1.645878024998844
110010021026,"District of Columbia, District of Columbia, 2102, 6",District of Columbia,2018,observed,13.0,7.18,11.0,6.08,1.0,0.55,-1.417641893565401
110010022011,"District of Columbia, District of Columbia, 2201, 1",District of Columbia,2018,observed,2.0,3.57,2.0,3.57,0.0,0.0,-1.6713008920633725
110010022013,"District of Columbia, District of Columbia, 2201, 3",District of Columbia,2018,observed,9.0,17.31,8.0,15.38,1.0,1.92,-1.4052629951208786
110010022021,"District of Columbia, District of Columbia, 2202, 1",District of Columbia,2018,observed,38.0,10.33,23.0,6.25,3.0,0.82,-1.0240208996939866
110010022022,"District of Columbia, District of Columbia, 2202, 2",District of Columbia,2018,observed,4.0,2.41,4.0,2.41,0.0,0.0,-1.6199072785807738
110010022023,"District of Columbia, District of Columbia, 2202, 3",District of Columbia,2018,observed,6.0,6.06,6.0,6.06,2.0,2.02,-1.227518589474258
110010023011,"District of Columbia, District of Columbia, 2301, 1",District of Columbia,2018,observed,1.0,2.22,1.0,2.22,0.0,0.0,-1.6680829392630514
110010023012,"District of Columbia, District of Columbia, 2301, 2",District of Columbia,2018,observed,15.0,7.81,12.0,6.25,4.0,2.08,-1.015714170062214
110010023021,"District of Columbia, District of Columbia, 2302, 1",District of Columbia,2018,observed,58.0,9.18,46.0,7.28,3.0,0.47,-0.7046822210152806
110010024001,"District of Columbia, District of Columbia, 2400, 1",District of Columbia,2018,observed,51.0,22.57,19.0,8.41,0.0,0.0,-1.3729866376326334
110010024002,"District of Columbia, District of Columbia, 2400, 2",District of Columbia,2018,observed,5.0,5.0,5.0,5.0,0.0,0.0,-1.6417025898430682
110010024003,"District of Columbia, District of Columbia, 2400, 3",District of Columbia,2018,observed,3.0,5.36,3.0,5.36,0.0,0.0,-1.681110810769555
110010024004,"District of Columbia, District of Columbia, 2400, 4",District of Columbia,2018,observed,3.0,1.62,3.0,1.62,0.0,0.0,-1.6250791005697311
110010025011,"District of Columbia, District of Columbia, 2501, 1",District of Columbia,2018,observed,15.0,3.79,13.0,3.28,6.0,1.52,-0.9428644136085289
110010025012,"District of Columbia, District of Columbia, 2501, 2",District of Columbia,2018,observed,9.0,8.18,7.0,6.36,2.0,1.82,-1.2477392411109425
110010025021,"District of Columbia, District of Columbia, 2502, 1",District of Columbia,2018,observed,96.0,25.6,53.0,14.13,6.0,1.6,-0.25748941543491977
110010025022,"District of Columbia, District of Columbia, 2502, 2",District of Columbia,2018,observed,89.0,15.78,44.0,7.8,5.0,0.89,-0.43950808694354404
110010025023,"District of Columbia, District of Columbia, 2502, 3",District of Columbia,2018,observed,3.0,3.33,3.0,3.33,0.0,0.0,-1.6506978771584204
110010025024,"District of Columbia, District of Columbia, 2502, 4",District of Columbia,2018,observed,32.0,6.13,23.0,4.41,1.0,0.19,-1.2095537104185952
110010026001,"District of Columbia, District of Columbia, 2600, 1",District of Columbia,2018,observed,17.0,6.69,12.0,4.72,0.0,0.0,-1.5039871750135556
110010026002,"District of Columbia, District of Columbia, 2600, 2",District of Columbia,2018,observed,2.0,4.0,2.0,4.0,0.0,0.0,-1.6777430405622826
110010027012,"District of Columbia, District of Columbia, 2701, 2",District of Columbia,2018,observed,24.0,3.61,15.0,2.26,1.0,0.15,-1.317058233610488
110010027014,"District of Columbia, District of Columbia, 2701, 4",District of Columbia,2018,observed,107.0,11.11,95.0,9.87,23.0,2.39,1.3667163056818616
110010027021,"District of Columbia, District of Columbia, 2702, 1",District of Columbia,2018,observed,142.0,21.65,82.0,12.5,8.0,1.22,0.4104524709414124
110010027022,"District of Columbia, District of Columbia, 2702, 2",District of Columbia,2018,observed,33.0,6.61,32.0,6.41,17.0,3.41,0.16002070805006302
110010027023,"District of Columbia, District of Columbia, 2702, 3",District of Columbia,2018,observed,4.0,2.42,2.0,1.21,0.0,0.0,-1.633120234472336
110010028011,"District of Columbia, District of Columbia, 2801, 1",District of Columbia,2018,observed,29.0,3.59,28.0,3.47,7.0,0.87,-0.7465606266219333
110010028012,"District of Columbia, District of Columbia, 2801, 2",District of Columbia,2018,observed,158.0,23.55,81.0,12.07,5.0,0.75,0.2604687513556017
110010028021,"District of Columbia, District of Columbia, 2802, 1",District of Columbia,2018,observed,74.0,5.32,46.0,3.3,2.0,0.14,-0.6555238334928769
110010028022,"District of Columbia, District of Columbia, 2802, 2",District of Columbia,2018,observed,35.0,8.01,25.0,5.72,5.0,1.14,-0.8505634987746988
110010029001,"District of Columbia, District of Columbia, 2900, 1",District of Columbia,2018,observed,16.0,5.25,15.0,4.92,1.0,0.33,-1.3668870502602812
110010029002,"District of Columbia, District of Columbia, 2900, 2",District of Columbia,2018,observed,16.0,3.44,14.0,3.01,6.0,1.29,-0.9572142590767412
110010030001,"District of Columbia, District of Columbia, 3000, 1",District of Columbia,2018,observed,40.0,8.44,18.0,3.8,2.0,0.42,-1.1478050090147744
110010030002,"District of Columbia, District of Columbia, 3000, 2",District of Columbia,2018,observed,81.0,17.8,54.0,11.87,7.0,1.54,-0.21907183348943196
110010031001,"District of Columbia, District of Columbia, 3100, 1",District of Columbia,2018,observed,64.0,10.44,42.0,6.85,2.0,0.33,-0.7920204612410829
110010032001,"District of Columbia, District of Columbia, 3200, 1",District of Columbia,2018,observed,8.0,3.38,7.0,2.95,3.0,1.27,-1.2299524500984653
110010032002,"District of Columbia, District of Columbia, 3200, 2",District of Columbia,2018,observed,13.0,11.11,8.0,6.84,0.0,0.0,-1.6199311905801026
110010032003,"District of Columbia, District of Columbia, 3200, 3",District of Columbia,2018,observed,5.0,3.05,5.0,3.05,1.0,0.61,-1.4685059379619767
110010032004,"District of Columbia, District of Columbia, 3200, 4",District of Columbia,2018,observed,20.0,12.5,11.0,6.88,4.0,2.5,-0.9710350644557982
110010033011,"District of Columbia, District of Columbia, 3301, 1",District of Columbia,2018,observed,4.0,2.99,4.0,2.99,1.0,0.75,-1.462723202328016
110010033012,"District of Columbia, District of Columbia, 3301, 2",District of Columbia,2018,observed,3.0,1.44,3.0,1.44,0.0,0.0,-1.622382387244606
110010033013,"District of Columbia, District of Columbia, 3301, 3",District of Columbia,2018,observed,1.0,1.11,1.0,1.11,0.0,0.0,-1.651453207091446
110010033021,"District of Columbia, District of Columbia, 3302, 1",District of Columbia,2018,observed,3.0,1.4,2.0,0.93,0.0,0.0,-1.6293891029573186
110010033022,"District of Columbia, District of Columbia, 3302, 2",District of Columbia,2018,observed,5.0,2.91,5.0,2.91,0.0,0.0,-1.6103907517902254
110010034001,"District of Columbia, District of Columbia, 3400, 1",District of Columbia,2018,observed,11.0,2.93,8.0,2.13,0.0,0.0,-1.536318728833345
110010034002,"District of Columbia, District of Columbia, 3400, 2",District of Columbia,2018,observed,1.0,0.4,1.0,0.4,1.0,0.4,-1.5296707561678844
110010035001,"District of Columbia, District of Columbia, 3500, 1",District of Columbia,2018,observed,21.0,5.59,17.0,4.52,3.0,0.8,-1.1444040221628287
110010035002,"District of Columbia, District of Columbia, 3500, 2",District of Columbia,2018,observed,21.0,4.41,20.0,4.2,7.0,1.47,-0.8003690037107818
110010036001,"District of Columbia, District of Columbia, 3600, 1",District of Columbia,2018,observed,92.0,14.07,42.0,6.42,6.0,0.92,-0.36893616898088777
110010036002,"District of Columbia, District of Columbia, 3600, 2",District of Columbia,2018,observed,23.0,5.01,20.0,4.36,3.0,0.65,-1.1171507885514913
110010036003,"District of Columbia, District of Columbia, 3600, 3",District of Columbia,2018,observed,13.0,3.69,9.0,2.56,0.0,0.0,-1.5224102521129694
110010037001,"District of Columbia, District of Columbia, 3700, 1",District of Columbia,2018,observed,29.0,6.26,22.0,4.75,1.0,0.22,-1.2368107743748011
110010037002,"District of Columbia, District of Columbia, 3700, 2",District of Columbia,2018,observed,83.0,9.88,59.0,7.02,9.0,1.07,-0.03308891965503631
110010037003,"District of Columbia, District of Columbia, 3700, 3",District of Columbia,2018,observed,74.0,11.82,38.0,6.07,5.0,0.8,-0.5649931397669082
110010038001,"District of Columbia, District of Columbia, 3800, 1",District of Columbia,2018,observed,73.0,9.61,49.0,6.45,3.0,0.39,-0.5946533432689713
110010038002,"District of Columbia, District of Columbia, 3800, 2",District of Columbia,2018,observed,22.0,3.7,22.0,3.7,3.0,0.51,-1.1075568129867401
110010038003,"District of Columbia, District of Columbia, 3800, 3",District of Columbia,2018,observed,10.0,1.92,9.0,1.73,0.0,0.0,-1.520356246726036
110010039001,"District of Columbia, District of Columbia, 3900, 1",District of Columbia,2018,observed,46.0,5.6,28.0,3.41,7.0,0.85,-0.6670923787589649
110010039002,"District of Columbia, District of Columbia, 3900, 2",District of Columbia,2018,observed,15.0,10.14,11.0,7.43,1.0,0.68,-1.4175251659616586
110010039003,"District of Columbia, District of Columbia, 3900, 3",District of Columbia,2018,observed,39.0,7.62,31.0,6.05,4.0,0.78,-0.8646189387260774
110010039004,"District of Columbia, District of Columbia, 3900, 4",District of Columbia,2018,observed,1.0,0.38,1.0,0.38,1.0,0.38,-1.532498439686892
110010040011,"District of Columbia, District of Columbia, 4001, 1",District of Columbia,2018,observed,5.0,1.06,5.0,1.06,0.0,0.0,-1.5826745315042166
110010040012,"District of Columbia, District of Columbia, 4001, 2",District of Columbia,2018,observed,7.0,4.29,6.0,3.68,0.0,0.0,-1.6035425357267652
110010040013,"District of Columbia, District of Columbia, 4001, 3",District of Columbia,2018,observed,9.0,1.58,8.0,1.41,1.0,0.18,-1.4556841114150965
110010040021,"District of Columbia, District of Columbia, 4002, 1",District of Columbia,2018,observed,27.0,9.89,13.0,4.76,3.0,1.1,-1.141024730904062
110010040022,"District of Columbia, District of Columbia, 4002, 2",District of Columbia,2018,observed,41.0,8.27,24.0,4.84,1.0,0.2,-1.1641474922381345
110010040023,"District of Columbia, District of Columbia, 4002, 3",District of Columbia,2018,observed,25.0,9.23,19.0,7.01,2.0,0.74,-1.2024296298616897
110010041002,"District of Columbia, District of Columbia, 4100, 2",District of Columbia,2018,observed,3.0,1.44,3.0,1.44,0.0,0.0,-1.622382387244606
110010042011,"District of Columbia, District of Columbia, 4201, 1",District of Columbia,2018,observed,51.0,7.73,25.0,3.79,4.0,0.61,-0.8741362104902495
110010042012,"District of Columbia, District of Columbia, 4201, 2",District of Columbia,2018,observed,6.0,0.99,5.0,0.82,0.0,0.0,-1.5746119891873191
110010042021,"District of Columbia, District of Columbia, 4202, 1",District of Columbia,2018,observed,28.0,5.2,16.0,2.97,2.0,0.37,-1.2168860967662296
110010042022,"District of Columbia, District of Columbia, 4202, 2",District of Columbia,2018,observed,20.0,3.1,15.0,2.32,2.0,0.31,-1.2629797825397255
110010043001,"District of Columbia, District of Columbia, 4300, 1",District of Columbia,2018,observed,43.0,4.8,28.0,3.12,4.0,0.45,-0.8844919593811968
110010043002,"District of Columbia, District of Columbia, 4300, 2",District of Columbia,2018,observed,56.0,8.51,28.0,4.26,3.0,0.46,-0.8930648308832018
110010044001,"District of Columbia, District of Columbia, 4400, 1",District of Columbia,2018,observed,20.0,2.34,15.0,1.75,1.0,0.12,-1.3314143733211377
110010044002,"District of Columbia, District of Columbia, 4400, 2",District of Columbia,2018,observed,49.0,9.61,39.0,7.65,10.0,1.96,-0.2678417809072029
110010046001,"District of Columbia, District of Columbia, 4600, 1",District of Columbia,2018,observed,28.0,7.37,25.0,6.58,4.0,1.05,-0.9552110865843834
110010046002,"District of Columbia, District of Columbia, 4600, 2",District of Columbia,2018,observed,18.0,7.38,14.0,5.74,4.0,1.64,-1.037760687541661
110010047011,"District of Columbia, District of Columbia, 4701, 1",District of Columbia,2018,observed,24.0,6.23,24.0,6.23,3.0,0.78,-1.0692270251749216
110010047012,"District of Columbia, District of Columbia, 4701, 2",District of Columbia,2018,observed,318.0,20.45,148.0,9.52,12.0,0.77,2.3118104024182076
110010047021,"District of Columbia, District of Columbia, 4702, 1",District of Columbia,2018,observed,94.0,5.63,59.0,3.54,5.0,0.3,-0.22807324955274863
110010048011,"District of Columbia, District of Columbia, 4801, 1",District of Columbia,2018,observed,22.0,3.13,19.0,2.7,2.0,0.28,-1.2141978510215923
110010048021,"District of Columbia, District of Columbia, 4802, 1",District of Columbia,2018,observed,11.0,1.87,8.0,1.36,4.0,0.68,-1.22202107184203
110010048022,"District of Columbia, District of Columbia, 4802, 2",District of Columbia,2018,observed,153.0,17.73,92.0,10.66,11.0,1.27,0.7819771922932681
110010049011,"District of Columbia, District of Columbia, 4901, 1",District of Columbia,2018,observed,48.0,12.87,32.0,8.58,4.0,1.07,-0.8139852533045738
110010049012,"District of Columbia, District of Columbia, 4901, 2",District of Columbia,2018,observed,46.0,4.61,28.0,2.81,5.0,0.5,-0.8072904917684942
110010049021,"District of Columbia, District of Columbia, 4902, 1",District of Columbia,2018,observed,56.0,23.43,40.0,16.74,1.0,0.42,-1.0644675182404175
110010049022,"District of Columbia, District of Columbia, 4902, 2",District of Columbia,2018,observed,66.0,8.47,45.0,5.78,11.0,1.41,-0.11804124137021887
110010050011,"District of Columbia, District of Columbia, 5001, 1",District of Columbia,2018,observed,16.0,8.25,11.0,5.67,2.0,1.03,-1.2812563277112319
110010050012,"District of Columbia, District of Columbia, 5001, 2",District of Columbia,2018,observed,12.0,3.06,11.0,2.81,1.0,0.26,-1.4136889318767458
110010050021,"District of Columbia, District of Columbia, 5002, 1",District of Columbia,2018,observed,16.0,1.9,16.0,1.9,0.0,0.0,-1.4081778251688344
110010050022,"District of Columbia, District of Columbia, 5002, 2",District of Columbia,2018,observed,39.0,5.34,21.0,2.88,0.0,0.0,-1.253204441699979
110010050023,"District of Columbia, District of Columbia, 5002, 3",District of Columbia,2018,observed,17.0,7.49,11.0,4.85,0.0,0.0,-1.5219868253572777
110010050024,"District of Columbia, District of Columbia, 5002, 4",District of Columbia,2018,observed,41.0,6.71,33.0,5.4,2.0,0.33,-0.9866027654701419
110010052011,"District of Columbia, District of Columbia, 5201, 1",District of Columbia,2018,observed,56.0,4.75,33.0,2.8,3.0,0.25,-0.8311424697742117
110010052012,"District of Columbia, District of Columbia, 5201, 2",District of Columbia,2018,observed,2.0,0.52,2.0,0.52,0.0,0.0,-1.625606582943195
110010052013,"District of Columbia, District of Columbia, 5201, 3",District of Columbia,2018,observed,10.0,2.02,9.0,1.81,3.0,0.6,-1.2820785529375263
